site_id,date,flow_cfs,qualifiers
06447500,1990-04-30,28.0,A
06447500,1990-05-01,24.0,A
06447500,1990-05-02,22.0,A
06447500,1990-05-03,20.0,A
06447500,1990-05-04,19.0,A
06447500,1990-05-05,18.0,A
06447500,1990-05-06,18.0,A
06447500,1990-05-07,17.0,A
06447500,1990-05-08,17.0,A
06447500,1990-05-09,17.0,A
06447500,1990-05-10,17.0,A
06447500,1990-05-11,17.0,A
06447500,1990-05-12,17.0,A
06447500,1990-05-13,18.0,A
06447500,1990-05-14,20.0,A
06447500,1990-05-15,26.0,A
06447500,1990-05-16,29.0,A
06447500,1990-05-17,29.0,A
06447500,1990-05-18,28.0,A
06447500,1990-05-19,94.0,A
06447500,1990-05-20,76.0,A
06447500,1990-05-21,43.0,A
06447500,1990-05-22,33.0,A
06447500,1990-05-23,28.0,A
06447500,1990-05-24,35.0,A
06447500,1990-05-25,63.0,A
06447500,1990-05-26,50.0,A
06447500,1990-05-27,41.0,A
06447500,1990-05-28,34.0,A
06447500,1990-05-29,26.0,A
06447500,1990-05-30,24.0,A
06447500,1990-05-31,24.0,A
06447500,1990-06-01,26.0,A
06447500,1990-06-02,39.0,A
06447500,1990-06-03,197.0,A
06447500,1990-06-04,351.0,A
06447500,1990-06-05,131.0,A
06447500,1990-06-06,53.0,A
06447500,1990-06-07,42.0,A
06447500,1990-06-08,38.0,A
06447500,1990-06-09,34.0,A
06447500,1990-06-10,28.0,A
06447500,1990-06-11,25.0,A
06447500,1990-06-12,23.0,A
06447500,1990-06-13,21.0,A
06447500,1990-06-14,20.0,A
06447500,1990-06-15,20.0,A
06447500,1990-06-16,37.0,A
06447500,1990-06-17,81.0,A
06447500,1990-06-18,207.0,A
06447500,1990-06-19,99.0,A
06447500,1990-06-20,55.0,A
06447500,1990-06-21,41.0,A
06447500,1990-06-22,34.0,A
06447500,1990-06-23,30.0,A
06447500,1990-06-24,26.0,A
06447500,1990-06-25,23.0,A
06447500,1990-06-26,20.0,A
06447500,1990-06-27,18.0,A
06447500,1990-06-28,17.0,A
06447500,1990-06-29,16.0,A
06447500,1990-06-30,15.0,A
06447500,1990-07-01,14.0,A
06447500,1990-07-02,13.0,A
06447500,1990-07-03,12.0,A
06447500,1990-07-04,12.0,A
06447500,1990-07-05,11.0,A
06447500,1990-07-06,11.0,A
06447500,1990-07-07,11.0,A
06447500,1990-07-08,11.0,A
06447500,1990-07-09,10.0,A
06447500,1990-07-10,12.0,A
06447500,1990-07-11,11.0,A
06447500,1990-07-12,11.0,A
06447500,1990-07-13,10.0,A
06447500,1990-07-14,9.8,A
06447500,1990-07-15,9.3,A
06447500,1990-07-16,9.4,A
06447500,1990-07-17,9.3,A
06447500,1990-07-18,8.9,A
06447500,1990-07-19,9.1,A
06447500,1990-07-20,9.8,A
06447500,1990-07-21,11.0,A
06447500,1990-07-22,14.0,A
06447500,1990-07-23,15.0,A
06447500,1990-07-24,13.0,A
06447500,1990-07-25,11.0,A
06447500,1990-07-26,11.0,A
06447500,1990-07-27,11.0,A
06447500,1990-07-28,13.0,A
06447500,1990-07-29,19.0,A
06447500,1990-07-30,19.0,A
06447500,1990-07-31,24.0,A
06447500,1990-08-01,18.0,A
06447500,1990-08-02,14.0,A
06447500,1990-08-03,13.0,A
06447500,1990-08-04,40.0,A
